tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
2305,24,0.0,0.0,0.0,"I liked a @YouTube video http://youtu.be/nb4wd1AW59o?a  HURRICANE ""HARVEY"" & THE DARK KNIGHT RISES",2017-08-14 04:57:00,2017-8-14
8141,82,0.0,0.0,0.0,"HURRICANE ""HARVEY"" & THE DARK KNIGHT RISES https://youtu.be/nb4wd1AW59o  via @YouTube",2017-08-14 04:59:00,2017-8-14
34770,348,0.0,0.0,0.0,"HURRICANE ""HARVEY"" & THE DARK KNIGHT RISES
#kochbrothers buy DA'shttps://www.youtube.com/watch?v=nb4wd1AW59o&feature=share ",2017-08-14 06:13:00,2017-8-14
112407,1125,0.0,0.0,0.0,"HURRICANE ""HARVEY"" & THE DARK KNIGHT RISES http://fb.me/vSQxuYjl ",2017-08-14 05:16:00,2017-8-14
115455,1155,1.0,3.0,0.0,"Hurricane Harvey, y'all https://twitter.com/weatherchannel/status/896887451767029760 ",2017-08-14 00:24:00,2017-8-14
162573,1626,0.0,0.0,0.0,"HURRICANE ""HARVEY"" & THE DARK KNIGHT RISING: http://youtu.be/nb4wd1AW59o?a  via @YouTube",2017-08-14 04:40:00,2017-8-14
209141,2092,1.0,0.0,0.0,Gert Becoming #Hurricane; Harvey Next - Weatherboy http://www.weatherboy.com/gert-becoming-hurricane-harvey-next/  via @theWeatherboy #RandirobicsReady,2017-08-14 22:17:00,2017-8-14
287663,2877,0.0,0.0,0.0,"If the GFS is correct, we will be tracking hurricane #Harvey in the western Atlantic in a week.pic.twitter.com/k2LEHPWani",2017-08-14 04:26:00,2017-8-14
308091,3081,0.0,0.0,0.0,"Weather Street: Tropical Storm Harvey, Hurricane Harvey 2017 http://fb.me/vmMIfVcA ",2017-08-14 08:31:00,2017-8-14
357519,3576,1.0,0.0,0.0,"Increased storminess in far eastern Atlantic potential breeding ground for Hurricane Harvey, which could threaten N. America by next week. pic.twitter.com/FeDo1kqd1v",2017-08-14 16:31:00,2017-8-14
