tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
123564,1236,1.0,0.0,0.0,"Check out my new video: HURRICANE ""HARVEY"" & THE DARK KNIGHT RISES :)

http://crwd.fr/2w6WY4V pic.twitter.com/fqIL020NVg",2017-08-15 06:21:00,2017-8-15
178701,1788,0.0,0.0,0.0,"RT @wt360: Hurricane Harvey is well off the East Coast and heading Northeast away from land - a classic ""fish storm"" aka it... @bzh455",2017-08-15 22:01:00,2017-8-15
186334,1864,0.0,0.0,2.0,"Hurricane Harvey is well off the East Coast and heading Northeast away from land - a classic ""fish storm"" aka it... http://fb.me/6kdDceyKD ",2017-08-15 18:28:00,2017-8-15
