tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
16035,161,1.0,2.0,0.0,Everyday is bright and sunny on the island. Today? Cloudy and gloomy. Thanks Hurricane Harvey. pic.twitter.com/kCP3MLZxTm,2017-08-21 20:49:00,2017-8-21
54313,544,0.0,1.0,0.0,Look bad but not painful  Think I need to be more worried ? a slim chance that hurricane Harvey could hit us next week my luck it will ,2017-08-21 00:07:00,2017-8-21
75921,760,0.0,0.0,0.0,"thanks to hurricane Harvey all I'm gonna see is fog, clouds and rain ",2017-08-21 18:02:00,2017-8-21
88706,888,31.0,5.0,26.0,"Here's the GFS, placing what could be tropical storm or hurricane Harvey along the TX/MX border FRI morning. pic.twitter.com/z3I2QHMCa6",2017-08-21 13:54:00,2017-8-21
276219,2763,1.0,0.0,0.0,"A nice show of thunderstorms  last night, good news about hurricane Harvey its looks like it's blown itself out  was due to hit us tue.",2017-08-21 14:23:00,2017-8-21
315624,3157,3.0,0.0,2.0,12z Euro drifts Hurricane Harvey right along the coast for 4 days. Devastating rains shown. pic.twitter.com/QFhcKAsmt7,2017-08-21 18:50:00,2017-8-21
342283,3423,0.0,0.0,1.0,"Here's the GFS, placing what could be tropical storm or hurricane Harvey along the TX/MX border FRI morning. pic.twitter.com/HkP7AEYa0u",2017-08-21 13:54:00,2017-8-21
374899,3749,0.0,1.0,0.0,@NWSFortWorth How much MORE precip do we need 2 B the WETTEST Summer on Record? Remnants of Hurricane Harvey? And redeveloping? New models!,2017-08-21 20:43:00,2017-8-21
387141,3872,1.0,0.0,0.0,"Here's the GFS, placing what could be tropical storm or hurricane Harvey along the TX/MX border FRI morning. pic.twitter.com/XxXmBZK4aj",2017-08-21 13:54:00,2017-8-21
