tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
121398,1214,3.0,1.0,1.0,Canadian model now showing low end Hurricane #Harvey off FL coast on 8/21. #FLwxpic.twitter.com/yj6orgQeTF,2017-08-13 05:58:00,2017-8-13
161971,1620,6.0,0.0,5.0,Hurricane Harvey is coming for your trees again @AuburnUhttps://twitter.com/ryanmaue/status/896723754277113856 ,2017-08-13 15:49:00,2017-8-13
173244,1733,1.0,0.0,0.0,"I would agree with this. 91L, future Hurricane Harvey, is one to watch closely #MajorHurricane #TropicalWavehttps://twitter.com/bostonmetrowx/status/896807891537207296 ",2017-08-13 23:02:00,2017-8-13
243882,2439,0.0,0.0,0.0,Hurricane Harvey threat next week: http://youtu.be/90f0tgza6XQ?a  via @YouTube,2017-08-13 05:41:00,2017-8-13
