tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
28109,282,0.0,0.0,0.0,"Cripes, what do you expect when you name a hurricane ""Harvey""? https://twitter.com/AJENews/status/898952766642561024 ",2017-08-19 17:12:00,2017-8-19
43683,437,0.0,1.0,0.0," #LALATE 
#Hurricane #Harvey #ProjectedPath!
#HURRICANEHARVEY #PUERTORICOhttp://news.lalate.com/2017/08/18/hurricane-harvey-projected-path-national-hurricane-center/ ",2017-08-19 18:29:00,2017-8-19
189401,1895,0.0,0.0,0.0,Hurricane Harvey = Hurricane Hermine?  Oh no #Tallahassee !,2017-08-19 01:46:00,2017-8-19
246947,2470,0.0,0.0,0.0,Bring us some rain Hurricane Harvey to San Diego.  Sure need the rain!,2017-08-19 15:40:00,2017-8-19
295867,2959,0.0,0.0,0.0,Hurricane Harvey Projected Path: National Hurricane Center http://paper.li/f-1498125759?read=http%3A%2F%2Fnews.lalate.com%2F2017%2F08%2F18%2Fhurricane%2Dharvey%2Dprojected%2Dpath%2Dnational%2Dhurricane%2Dcenter%2F  #lalate,2017-08-19 10:02:00,2017-8-19
311869,3119,0.0,0.0,0.0,So if hurricane Harvey actually is a hurricane it is gonna hit Belize dead on Tuesday and i leave Tuesday....,2017-08-19 03:57:00,2017-8-19
