tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
34,1,0.0,0.0,0.0,@auburnvillager Just like that BAM Hurricane Harvey inbound,2017-08-18 13:33:00,2017-8-18
3443,35,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey - http://klou.tt/182t3dudr88w3 ,2017-08-18 11:15:00,2017-8-18
33609,337,0.0,0.0,0.0,Hurricane Harvey 'two face.',2017-08-18 20:03:00,2017-8-18
56581,566,0.0,1.0,0.0,Oh wow! Have fun!!! No TS Harvey possibly hurricane Harvey by the time it reaches bze,2017-08-18 22:51:00,2017-8-18
67594,676,0.0,0.0,0.0," #LALATE  #BREAKINGNEWS
#Hurricane #Harvey #ProjectedPath!
#HURRICANEHARVEY #PUERTORICO
http://news.lalate.com/2017/08/18/hurricane-harvey-projected-path-national-hurricane-center/ pic.twitter.com/iTxGBJVjeH",2017-08-18 22:52:00,2017-8-18
97249,973,0.0,1.0,0.0,@SpiritAirlines Looking for status update on Flight 885 FLL to AUA on Sat Aug 19th...will this be cancelled due to Hurricane Harvey?,2017-08-18 15:32:00,2017-8-18
100190,1002,1.0,0.0,0.0,@arubamarriott Is Hurricane Harvey expected to affect the island this weekend? What will happen to pre-paid/existing reservations? Thx!,2017-08-18 15:30:00,2017-8-18
127202,1273,1.0,0.0,0.0,"Hurricane Harvey is passing through the yucatan peninsula around the same time I'm supposed to be there

Never going to Harvey's ever again",2017-08-18 01:57:00,2017-8-18
130218,1303,3.0,0.0,1.0,"@CastronovoShow 
""If Tropical Storm Harvey becomes a hurricane & makes landfall, will it be named Hurricane Harvey Wallbanger?"" - L Diaz",2017-08-18 10:42:00,2017-8-18
151891,1519,2.0,0.0,0.0,#Mets fans having good natured fun with Hurricane Harvey are my favorite kind of tweeters.,2017-08-18 17:47:00,2017-8-18
174717,1748,0.0,0.0,0.0,The after math of Hurricane Harvey https://www.instagram.com/p/BX75jF0DvG6/ ,2017-08-18 12:56:00,2017-8-18
190539,1906,0.0,0.0,0.0,Tropical storm all day and I sea hurricane Harvey bubbling not far away #storm #holidays  #DominicanRepublic still enjoying our vaca xpic.twitter.com/OiAs6mymgy,2017-08-18 02:46:00,2017-8-18
194729,1948,2.0,1.0,0.0,"Heh heh, @LaddsRV Looks like a Hurricane Harvey is in the works?",2017-08-18 00:49:00,2017-8-18
196953,1970,0.0,0.0,0.0,"If Harvey was good Mets fans would be ""flooding"" Citi Field with horrible homemade  ""Hurricane Harvey"" signs.",2017-08-18 02:09:00,2017-8-18
203351,2034,1.0,0.0,1.0,Tropische storm boven de kleine Antillen #hurricane #Harveypic.twitter.com/fDpaJRNEaA,2017-08-18 13:21:00,2017-8-18
253489,2535,3.0,0.0,1.0,Hurricane Harvey has company Are you prepared? #Hurricane #Insurance #Florida #FloridaRealtors #RealEstate #SouthFlorida #Claims #BePreparedpic.twitter.com/Sfyq6MrLBj,2017-08-18 17:15:00,2017-8-18
264159,2642,0.0,0.0,0.0,@LenKasper Get a loada (Hurricane) Harvey. pic.twitter.com/zwZjcK7pkU,2017-08-18 17:51:00,2017-8-18
267825,2679,0.0,0.0,0.0,Looking like hurricane Harvey coming,2017-08-18 17:40:00,2017-8-18
287950,2880,2.0,0.0,0.0,"Hurricane Harvey track. If you're within the track, expect hurricane force winds and drowning rain. pic.twitter.com/e8Vhfgw093",2017-08-18 04:26:00,2017-8-18
298580,2986,0.0,0.0,0.0,"Tropics are boppin'

#Hurricane #HARVEYpic.twitter.com/TzHlWjVF8C",2017-08-18 19:37:00,2017-8-18
307140,3072,0.0,0.0,0.0,Land in Barbados and hurricane Harvey hits can't leave the hotel until the all clear..,2017-08-18 16:22:00,2017-8-18
319133,3192,0.0,0.0,0.0,Hurricane Harvey is heading for Tilly island ,2017-08-18 00:39:00,2017-8-18
345750,3458,0.0,0.0,0.0,#LALATE: ##Hurricane Harvey #ProjectedPath: National Hurricane Center http://dlvr.it/Pg3Zdm pic.twitter.com/fZL8cBCmLP,2017-08-18 23:13:00,2017-8-18
358664,3587,0.0,0.0,0.0,Rain start lol hurricane Harvey a come island won't be hot anymore,2017-08-18 22:27:00,2017-8-18
362212,3623,2.0,2.0,0.0,Let's get the hurricane Harvey tweets going I know the crew will have some good ones,2017-08-18 00:32:00,2017-8-18
365879,3659,0.0,0.0,0.0,The latest Simone's 3D Tour Galleries News Magazine! http://paper.li/MissSimone4U/1396755272?edition_id=1ad57ba0-8409-11e7-9cf0-0cc47a0d164b  #hurricane #harvey,2017-08-18 11:33:00,2017-8-18
386368,3864,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey https://upi.com/6619620t  via @upi,2017-08-18 00:21:00,2017-8-18
393296,3933,1.0,1.0,1.0,When's Hurricane Harvey pitching?,2017-08-18 20:20:00,2017-8-18
