tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
173300,1734,11.0,2.0,18.0,Could be a high impact flooding event for the Texas coast into this weekend if Hurricane Harvey develops pic.twitter.com/tNkoP40mcr,2017-08-22 14:18:00,2017-8-22
173806,1739,3.0,0.0,0.0,"Follow the link in the article for a hurricane tracker to keep track of the progress of Hurricane Harvey.
http://bit.ly/2vWGCey  #Hurricane",2017-08-22 22:37:00,2017-8-22
191063,1911,1.0,0.0,0.0,"""Hurricane Harvey...can we trust him?"" https://twitter.com/jimcantore/status/899961909574860800 ",2017-08-22 20:19:00,2017-8-22
212195,2122,13.0,1.0,11.0,"Extremely heavy rain forecast for East Texas next 7 days, easily 6"" & prob a lot more from poss Hurricane #Harvey: http://wapo.st/2v3oT6j pic.twitter.com/4Tg8Pw4Hms",2017-08-22 19:30:00,2017-8-22
219351,2194,0.0,0.0,2.0,URGENT POSSIBLE HURRICANE HARVEY WILL IMPACT SOUTH TEXAS COAST SOMETIME THIS FRIDAY & SATURDAY! SAN ANTONIO WILL BE IN PLAY! pic.twitter.com/cP6TirK4kF,2017-08-22 18:15:00,2017-8-22
221379,2214,0.0,0.0,0.0,"Hurricane Harvey, Energy Markets And Other Commodities https://seekingalpha.com/article/4100982-hurricane-harvey-energy-markets-commodities?source=feed_f  $BAL $CANE $CORN $OIL $SOYB $UNG",2017-08-22 16:08:00,2017-8-22
221489,2215,0.0,0.0,0.0,Looks like we're getting hit this weekend...hurricane Harvey....,2017-08-22 22:49:00,2017-8-22
232896,2329,0.0,1.0,0.0,@The_Raheel @johngranato are y'all ready to hunker down for hurricane Harvey pic.twitter.com/TsqXBpVtN3,2017-08-22 15:00:00,2017-8-22
235472,2355,0.0,0.0,0.0,"Hurricane Harvey, back in business?",2017-08-22 18:05:00,2017-8-22
238483,2385,9.0,1.0,0.0,Potential Post-Tropical Cyclone Hurricane Harvey,2017-08-22 23:37:00,2017-8-22
253116,2532,0.0,0.0,0.0,"If history serves as an indicator, Hurricane Harvey will come roaring in, meet a superstorm, falter & become a weak tropical depression.",2017-08-22 12:19:00,2017-8-22
269912,2700,0.0,0.0,0.0,"@austinfilm Hey! re: Cinematography Workshops. There is a potential tropical storm/hurricane Harvey coming that weekend.

What's the plan?",2017-08-22 16:33:00,2017-8-22
281109,2812,0.0,1.0,0.0,@KRGV_Weather sooooo any news on Hurricane Harvey?,2017-08-22 17:15:00,2017-8-22
282161,2822,0.0,1.0,0.0,"Captured by Hurricane Harvey. Humbled & grateful for the update, Great Khal! Sad to hear your woman covets another. Will see soon! #GOT",2017-08-22 15:48:00,2017-8-22
293398,2934,0.0,0.0,0.0,Governor Edwards prepares for effects of Hurricane Harvey: http://fb.me/yCOyI9R2 ,2017-08-22 19:43:00,2017-8-22
303107,3032,0.0,0.0,0.0,"Hurricane Harvey, Energy Markets And Other Commodities //channels.feeddigest.com/news?id=5905604308",2017-08-22 16:28:00,2017-8-22
310248,3103,8.0,0.0,9.0,"Be prepared and keep watch on Tropical Storm/Hurricane Harvey, expected to make landfall in TX on Friday. http://qoo.ly/h9vf9 ",2017-08-22 22:31:00,2017-8-22
310880,3109,0.0,0.0,0.0,"Great, only when I was about to go on my vacation, Hurricane Harvey decides to reform and hit Texas on the day I get into Galveston. >:(",2017-08-22 17:42:00,2017-8-22
320071,3201,0.0,0.0,1.0,What could become #hurricane Harvey; bears watching for #energy traders. storm could be stronger than others say.  @BNCommodities @mckonomypic.twitter.com/qhkbnoZZbY,2017-08-22 10:50:00,2017-8-22
328678,3287,1.0,0.0,0.0,"@BradKellner @courtesywave And btw, I hope tropical storm/hurricane Harvey falls apart before he gives you his rain.",2017-08-22 23:06:00,2017-8-22
330499,3305,1.0,0.0,0.0,everyone pls be safe with tropical storm/hurricane Harvey pic.twitter.com/6B3nJwQt4h,2017-08-22 20:24:00,2017-8-22
331262,3313,0.0,1.0,0.0,Have fun.  I guess Hurricane Harvey is already out of the way...?,2017-08-22 16:55:00,2017-8-22
334638,3347,3.0,1.0,0.0,"K but like this hurricane ""Harvey"" is v rude to cause my entire birthday weekend to be 100% rain when it hasn't rained in like 2 months 

",2017-08-22 21:56:00,2017-8-22
336027,3361,1.0,0.0,0.0,"RT SeekingAlpha ""Hurricane Harvey, Energy Markets And Other Commodities https://seekingalpha.com/article/4100982-hurricane-harvey-energy-markets-commodities?source=feed_f  $BAL $CANE $CORN $OIL $SOYB $UNG""",2017-08-22 16:12:00,2017-8-22
342402,3425,0.0,0.0,0.0,The news is kinda sorta low key making it sound like we might get hit by a hurricane? #harvey,2017-08-22 14:27:00,2017-8-22
353306,3534,0.0,0.0,0.0,"Hurricane Harvey, Energy Markets And Other Commodities http://ift.tt/2ioi4GE ",2017-08-22 19:52:00,2017-8-22
370992,3710,1.0,0.0,0.0,Hurricane Harvey?? http://fb.me/DID2j3t8 ,2017-08-22 23:10:00,2017-8-22
372554,3726,3.0,0.0,2.0,@Lets86it looks like Hurricane Harvey is also underperforming and trying to make a comeback. https://twitter.com/weatherchannel/status/900023221583396865 ,2017-08-22 16:53:00,2017-8-22
374604,3747,0.0,0.0,0.0,@NashSevereWx Definitely wasn't following Hurricane Harvey in the Gulf. We could always use rain.,2017-08-22 17:15:00,2017-8-22
375999,3760,5.0,0.0,14.0,"#STxWx: Redeveloped Hurricane Harvey could affect Corpus Christi, here's what you need to know: http://callertim.es/2xoPlnK ",2017-08-22 14:06:00,2017-8-22
377039,3771,27.0,1.0,1.0,"Hurricane Harvey is being reported as being ""Stubborn..."" #HurricaneHarvey #HarveyTime",2017-08-22 23:19:00,2017-8-22
