tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
132,2,2.0,1.0,2.0,"Hey Houston & Galveston friends, keep an ""eye"" on Hurricane Harvey. http://www.cnn.com/2017/08/22/us/possible-hurricane/index.html pic.twitter.com/q5m0c6ELZM",2017-08-23 13:59:00,2017-8-23
494,5,0.0,0.0,0.0,Hurricane Harvey may be good for a few dollars.,2017-08-23 17:06:00,2017-8-23
999,10,0.0,0.0,0.0,How is it that Trump's name gets brought up in conversation. Not everything is @POTUS fault. Is it trumps fault for Hurricane Harvey?,2017-08-23 17:44:00,2017-8-23
1186,12,3.0,0.0,0.0,Ok Hurricane Harvey we gotta talk; I'm trying to go start my island life so you need to go back in the gulf,2017-08-23 20:05:00,2017-8-23
6590,66,0.0,0.0,0.0,http://bit.ly/view  * Powerball * Note 8 * Hurricane Harvey * Espn Robert Lee * UFC * Harley Davidson * Houston Weather * Wow Airlines,2017-08-23 23:43:00,2017-8-23
6689,67,0.0,0.0,0.0,If I say I have a dark cloud hanging over me you must believe me. I planned a 4 day weekend & we'll probably have a TS or hurricane #Harvey,2017-08-23 00:54:00,2017-8-23
7382,74,0.0,0.0,0.0,"tropical storm or hurricane harvey is coming for me. well, nice job you ruined my weekend :/",2017-08-23 21:52:00,2017-8-23
8009,81,1.0,0.0,1.0,The latest Storm Watch America! http://paper.li/channel1atlanta/1333693929?edition_id=0fbb41b0-87ff-11e7-899b-002590a5ba2d  #hurricane #harvey,2017-08-23 12:32:00,2017-8-23
8434,85,0.0,0.0,0.0,I'm probably the only person looking forward to having Hurricane Harvey show up. But all my water comes from rain and we haven't had any.,2017-08-23 18:37:00,2017-8-23
9394,94,2.0,0.0,0.0,Remnants of former #Hurricane Harvey have reformed into a tropical depression in the western Gulf. http://cbsloc.al/2vfqu53 ,2017-08-23 15:34:00,2017-8-23
10111,102,0.0,0.0,0.0,#hot - Powerball - Note 8 - Hurricane Harvey - Espn Robert Lee - Harley Davidson - Houston Weather - UFC - Wow,2017-08-23 22:30:00,2017-8-23
10444,105,0.0,0.0,0.0,ALERT NEWS Hurricane Harvey Headed To Houston Texas: http://youtu.be/yzsHg3s18F4?a  via @YouTube,2017-08-23 19:38:00,2017-8-23
11501,116,1.0,0.0,0.0,Me watching yall lament about Hurricane Harvey from the East Coast pic.twitter.com/VV6p7QGCyr,2017-08-23 15:21:00,2017-8-23
11547,116,0.0,0.0,0.0,"hurricane: Hurricane Harvey, Tropical Storm Harvey, National Hurricane Center https://goo.gl/fb/JSD1Up ",2017-08-23 17:26:00,2017-8-23
11671,117,1.0,0.0,0.0,"Powerball, Note 8, Hurricane Harvey, Espn Robert Lee, ... #googletrends",2017-08-23 22:09:00,2017-8-23
17434,175,0.0,1.0,0.0,"With hurricane harvey coming this weekend, will the event be cancelled?",2017-08-23 19:19:00,2017-8-23
18061,181,5.0,0.0,1.0,Damn hurricane Harvey really out here stopping me from reuniting with my friends ,2017-08-23 19:45:00,2017-8-23
18139,182,15.0,0.0,0.0,Can't wait to move in to college the day Hurricane Harvey hits lmao,2017-08-23 19:25:00,2017-8-23
